Mexico	coach	Gerardo Martino
Mexico	midfielder	Hector Herrera
Mexico	has player	Hector Herrera
Hector Herrera	position	midfielder
Hector Herrera	goals	6
Hector Herrera	caps	76
Hector Herrera	age	30
Mexico	midfielder	Andres Guardado
Mexico	has player	Andres Guardado
Andres Guardado	position	midfielder
Andres Guardado	goals	28
Andres Guardado	caps	163
Andres Guardado	age	34
